19436701,72
19459816,07
19475927,06
19487590,68
19495126,65
19494500,09
19462947,96
19442331,34
19450699,36
19450348,36
19448525,82
19435730,83
19450721,91
19454919,20
19466295,60
19470308,42
19496336,11
19511467,07
19509188,89
19511517,67
19541657,57
19522292,99
19535863,10
19555189,15
19564924,26
19570665,95
19573781,30
19567646,39
19591423,37
19604362,61
19623515,39
19919350,63
19902646,48
19918547,09
19934531,18
21010193,28
19959321,12
19973111,13
19993254,97
19985544,42
19998710,08
20024709,01
20056844,73
20072482,82
20120249,87
20160923,21
20198273,37
20243649,40
20268100,68
20269136,59
20310002,41
20345899,60
20404238,76
20446718,57
20457715,05
20479485,86
20499951,27
20524900,06
20550791,05
20561985,84
20579109,83
20592136,27
20608170,12
20662948,80
20665522,04
20686702,67
20725409,85
20754433,99
20755849,42
20803393,27
20819930,01
20841393,67
20884581,84
20917462,67
20953352,09
20980703,15
21002025,15
21008740,07
21028145,60
21058581,56
21081110,65
21078827,59
21103167,47
21159556,01
21228204,83
21292844,23
21361502,17
21399971,56
21472403,90
21536087,30
21617084,05
21692008,57
21723835,43
21805368,63
21865842,48
21956958,61
22027792,16
22046668,99
22115178,54
22164685,96
22206755,80
22258369,32
22261106,90
22304974,69
22349757,35
22391636,11
22449267,30
22463304,94
22510909,09
22539876,17
22551394,32
22564796,26
22590487,95
22633809,81
22672614,60
22709995,01
22717950,56
22745990,61
22777119,42
22797185,91
22834367,74
22852695,18
22889064,36
22901826,26
22935194,10
22958823,98
22963285,44
22997775,31
23019727,69
23046858,48
23060868,85
23048643,43
23068609,55
23079092,88
23087122,18
23104996,28
23112620,41
23097827,74
23121392,79
23130756,82
23153018,99
23154842,45
23171193,38
23188102,69
23204984,84
23227477,12
23254856,78
23305991,09
23348025,52
23395655,50
23444301,84
23485143,45
23537189,99
23574936,65
23605921,38
23696450,91
23782146,55
23826699,12
23897034,78
23953579,29
24008418,79
24040243,24
24094275,51
24134614,11
24162828,85
24197172,06
24198948,23
24220181,87
24252706,84
24296782,88
24348019,21
24384994,62
24407966,48
24435114,76
24481508,29
24502603,72
24552620,75
24574801,91
24611016,84
24615858,21
24629469,99
24651656,78
24725049,30
24755469,15
24796303,68
24787292,75
24806507,80
24773062,25
24750643,29
24905445,62
24939283,55
25001234,31
25039167,47
25071126,62
25107625,82
25133378,92
25158492,16
25200032,43
25235281,44
25271011,82
25324872,12
25361266,62
25405249,96
25442453,13
25492899,16
25554741,64
25578266,48
25597174,82
25610781,85
25505251,61
25525867,41
25545709,39
25576451,69
25595552,33
25627159,70
25642968,58
25552301,86
25611000,62
25629643,04
25785445,67
25859238,01
25902355,40
25915818,58
25989300,10
26047971,77
26087165,81
26125009,73
